2020-11-20_16-30-58.11, ypr, 78.77, -10.30, -1.04, areal, 2441, 909, 171
2020-11-20_16-30-58.13, ypr, 78.90, -10.10, -0.86, areal, 2368, 785, 220
2020-11-20_16-30-58.15, ypr, 78.63, -9.77, -0.53, areal, 2413, 517, 312
2020-11-20_16-30-58.17, ypr, 77.47, -9.67, -0.27, areal, 2416, 346, 407
2020-11-20_16-30-58.19, ypr, 75.06, -9.77, -0.13, areal, 2472, 245, 472
2020-11-20_16-30-58.21, ypr, 71.45, -10.04, 0.03, areal, 2244, 586, 26
2020-11-20_16-30-58.23, ypr, 69.37, -10.14, 0.17, areal, 2078, 735, -131
2020-11-20_16-30-58.25, ypr, 64.95, -9.97, 0.32, areal, 1641, 973, -371
2020-11-20_16-30-58.27, ypr, 59.91, -9.71, 0.41, areal, 1349, 944, -732
2020-11-20_16-30-58.28, ypr, 57.24, -9.42, 0.54, areal, 1235, 860, -627
2020-11-20_16-30-58.30, ypr, 51.42, -8.24, 0.70, areal, 1318, 987, -16
2020-11-20_16-30-58.32, ypr, 44.44, -6.47, -0.11, areal, 1836, 1165, 889
2020-11-20_16-30-58.34, ypr, 35.85, -4.40, -2.04, areal, 1378, 1665, 273
2020-11-20_16-30-58.36, ypr, 31.55, -3.50, -3.09, areal, 679, 1670, -288
2020-11-20_16-30-58.38, ypr, 23.90, -2.00, -4.26, areal, -826, 1784, -942
2020-11-20_16-30-58.40, ypr, 17.40, -1.09, -4.15, areal, -1129, 1307, -294
2020-11-20_16-30-58.42, ypr, 11.36, -0.69, -3.27, areal, -1264, 828, 429
2020-11-20_16-30-58.44, ypr, 8.29, -0.44, -2.77, areal, -1192, 758, 531
2020-11-20_16-30-58.45, ypr, 0.86, 0.55, -1.86, areal, -587, 368, 683
2020-11-20_16-30-58.47, ypr, -7.22, 2.06, -1.43, areal, -1226, 38, -49
2020-11-20_16-30-58.49, ypr, -13.73, 3.40, -0.76, areal, -1587, -533, -329
2020-11-20_16-30-58.51, ypr, -19.36, 4.35, -0.10, areal, -1850, -986, -144
2020-11-20_16-30-58.53, ypr, -24.75, 5.27, 0.50, areal, -2603, -1127, 92
2020-11-20_16-30-58.55, ypr, -27.67, 5.85, 0.75, areal, -2809, -970, 130
2020-11-20_16-30-58.57, ypr, -33.52, 6.79, 1.58, areal, -2811, -812, 162
2020-11-20_16-30-58.59, ypr, -38.50, 6.58, 2.46, areal, -3308, -821, 715
2020-11-20_16-30-58.61, ypr, -42.42, 6.53, 2.60, areal, -3781, -963, 1179
2020-11-20_16-30-58.63, ypr, -44.17, 6.80, 2.34, areal, -3631, -975, 1088
2020-11-20_16-30-58.64, ypr, -47.43, 7.29, 1.79, areal, -3319, -1225, 660
2020-11-20_16-30-58.66, ypr, -49.51, 7.36, 1.23, areal, -3281, -1573, 448
2020-11-20_16-30-58.68, ypr, -50.48, 7.12, 0.77, areal, -2841, -1804, -59
2020-11-20_16-30-58.70, ypr, -50.68, 6.84, 0.68, areal, -2727, -1739, -230
2020-11-20_16-30-58.72, ypr, -50.74, 6.00, 0.77, areal, -2771, -1479, -218
2020-11-20_16-30-58.74, ypr, -50.15, 5.01, 0.76, areal, -2707, -1289, -23
2020-11-20_16-30-58.76, ypr, -49.07, 3.91, 0.57, areal, -2610, -1125, -226
2020-11-20_16-30-58.78, ypr, -47.34, 2.64, 0.44, areal, -2467, -1170, 50
2020-11-20_16-30-58.80, ypr, -45.82, 1.60, 0.45, areal, -2197, -1223, 171
2020-11-20_16-30-58.82, ypr, -40.88, -1.55, 0.61, areal, -1374, -1505, 428
2020-11-20_16-30-58.83, ypr, -34.24, -4.07, -0.12, areal, -1202, -1436, 213
2020-11-20_16-30-58.85, ypr, -27.65, -5.24, -1.38, areal, -1600, -908, 818
2020-11-20_16-30-58.87, ypr, -19.46, -5.85, -3.24, areal, -1722, -303, 1399
2020-11-20_16-30-58.89, ypr, -8.31, -7.70, -5.37, areal, -631, 280, 999
2020-11-20_16-30-58.91, ypr, 2.61, -9.43, -6.43, areal, 1622, 808, -226
2020-11-20_16-30-58.93, ypr, 10.99, -10.01, -6.21, areal, 2456, 607, -131
2020-11-20_16-30-58.95, ypr, 18.01, -9.15, -5.78, areal, 1950, 458, -29
2020-11-20_16-30-58.97, ypr, 21.12, -8.60, -5.47, areal, 1809, 619, -37
2020-11-20_16-30-58.99, ypr, 26.37, -7.30, -4.94, areal, 1625, 886, -204
2020-11-20_16-30-58.9999, ypr, 29.68, -6.15, -4.51, areal, 1383, 1174, -411
2020-11-20_16-30-58.9999, ypr, 31.90, -5.10, -4.28, areal, 1107, 1320, -229
2020-11-20_16-30-58.9999, ypr, 34.00, -4.40, -4.27, areal, 1415, 1610, -303
2020-11-20_16-30-58.9999, ypr, 34.81, -4.26, -4.19, areal, 1487, 1491, -349
2020-11-20_16-30-59.00, ypr, 36.17, -4.33, -3.93, areal, 1327, 1058, -94
2020-11-20_16-30-59.02, ypr, 37.03, -4.61, -3.83, areal, 973, 854, 101
2020-11-20_16-30-59.04, ypr, 37.08, -4.74, -3.85, areal, 912, 755, 282
2020-11-20_16-30-59.06, ypr, 36.78, -4.92, -3.97, areal, 950, 651, 196
2020-11-20_16-30-59.07, ypr, 36.17, -4.96, -3.92, areal, 1185, 745, 66
2020-11-20_16-30-59.09, ypr, 35.46, -5.03, -3.81, areal, 1127, 662, 135
