2020-11-27_14-40-36-855, ypr, -56.91, 26.17, 20.85, areal, -5564, -3057, 4784
2020-11-27_14-40-36-871, ypr, -56.83, 26.05, 20.97, areal, -5859, -2769, 3659
2020-11-27_14-40-36-888, ypr, -56.77, 26.65, 21.59, areal, -5343, -2298, -1597
2020-11-27_14-40-36-906, ypr, -56.99, 27.40, 21.29, areal, -4272, -4129, -293
2020-11-27_14-40-36-922, ypr, -57.03, 27.51, 21.03, areal, -4486, -4385, 1120
2020-11-27_14-40-36-939, ypr, -56.81, 27.67, 21.13, areal, -5620, -3415, 2539
2020-11-27_14-40-36-957, ypr, -56.85, 27.51, 21.19, areal, -6151, -1848, 3769
2020-11-27_14-40-36-972, ypr, -56.82, 27.64, 21.51, areal, -5686, -1125, 2912
2020-11-27_14-40-36-989, ypr, -56.93, 28.25, 21.88, areal, -5171, -2329, -140
2020-11-27_14-40-37-007, ypr, -57.18, 29.01, 21.70, areal, -5237, -4363, -1282
2020-11-27_14-40-37-025, ypr, -57.51, 29.36, 21.18, areal, -6090, -4845, 973
2020-11-27_14-40-37-041, ypr, -57.74, 29.44, 20.86, areal, -6022, -4858, 1887
2020-11-27_14-40-37-062, ypr, -58.12, 30.09, 21.03, areal, -5536, -2215, -769
2020-11-27_14-40-37-080, ypr, -58.19, 30.62, 21.39, areal, -5747, -432, 112
2020-11-27_14-40-37-097, ypr, -58.42, 30.93, 21.13, areal, -5908, -1773, 2124
2020-11-27_14-40-37-116, ypr, -58.99, 31.50, 20.54, areal, -6205, -3905, 1076
2020-11-27_14-40-37-131, ypr, -59.37, 31.89, 20.22, areal, -6231, -4575, 246
2020-11-27_14-40-37-149, ypr, -60.16, 32.68, 19.51, areal, -6146, -4930, 508
2020-11-27_14-40-37-168, ypr, -60.97, 33.12, 18.80, areal, -6253, -3659, 1752
2020-11-27_14-40-37-185, ypr, -61.70, 33.79, 18.66, areal, -6185, -2033, 643
2020-11-27_14-40-37-201, ypr, -62.13, 34.12, 18.42, areal, -6270, -2060, 773
