2020-11-20_16-19-45.9999, ypr, 10.88, 38.75, 3.85, areal, -7703, 509, 1578
2020-11-20_16-19-45.9999, ypr, 11.01, 38.99, 4.61, areal, -8001, 404, 1728
2020-11-20_16-19-45.9999, ypr, 11.72, 39.37, 6.17, areal, -8211, 182, 2029
2020-11-20_16-19-45.9999, ypr, 11.84, 39.53, 6.91, areal, -8152, 116, 2041
2020-11-20_16-19-45.9999, ypr, 10.90, 39.77, 8.58, areal, -8023, 205, 1922
2020-11-20_16-19-45.9999, ypr, 9.91, 39.82, 9.43, areal, -7892, 188, 2014
2020-11-20_16-19-45.9999, ypr, 7.19, 39.71, 10.65, areal, -8352, 30, 2376
2020-11-20_16-19-45.9999, ypr, 5.94, 39.63, 11.12, areal, -8734, -153, 2496
2020-11-20_16-19-45.9999, ypr, 4.01, 39.89, 12.08, areal, -9319, -545, 2533
2020-11-20_16-19-45.9999, ypr, 3.28, 40.27, 12.63, areal, -9316, -752, 2539
2020-11-20_16-19-45.9999, ypr, 2.73, 41.15, 13.72, areal, -9358, -1251, 2463
2020-11-20_16-19-46.00, ypr, 9.04, 41.94, 17.20, areal, -9767, -2310, 2744
2020-11-20_16-19-46.02, ypr, 9.80, 41.83, 17.69, areal, -10087, -2409, 3019
2020-11-20_16-19-46.05, ypr, 10.58, 41.62, 18.23, areal, -10380, -2300, 3353
2020-11-20_16-19-46.07, ypr, 12.25, 41.23, 18.97, areal, -10404, -2407, 3622
2020-11-20_16-19-46.10, ypr, 13.63, 40.95, 19.39, areal, -10231, -2643, 3311
2020-11-20_16-19-46.12, ypr, 14.06, 40.78, 19.60, areal, -10100, -2711, 3256
